iter	Logloss
0	0.5722744781
1	0.4903446564
2	0.4227195709
3	0.3755181305
4	0.341786673
5	0.3153248123
6	0.2968991287
7	0.2823287537
8	0.2731621078
9	0.2655722733
10	0.2579652374
11	0.2523535721
12	0.2487764954
13	0.2451992264
14	0.2427352524
15	0.2406061279
16	0.2389593262
17	0.2372561371
18	0.2363318054
19	0.2350024094
20	0.2344295563
21	0.2336269958
22	0.2329341431
23	0.2323248886
24	0.2318176086
25	0.2313431824
26	0.2309512589
27	0.230641217
28	0.2303299652
29	0.230050798
30	0.2298030319
31	0.2296157074
32	0.229470697
33	0.2293542328
34	0.2291982239
35	0.2290539749
36	0.2289513458
37	0.2287970779
38	0.2287119324
39	0.2286175705
40	0.2285459595
41	0.2284035934
42	0.228332959
43	0.228220871
44	0.2281388229
45	0.2280760788
46	0.2280036575
47	0.2279420731
48	0.2278834717
49	0.2278281479
50	0.2277747437
51	0.2277301788
52	0.2276873001
53	0.2276400803
54	0.2275916077
55	0.2275563675
56	0.2275101013
57	0.2274587662
58	0.227406781
59	0.2273650116
60	0.227329071
61	0.2273217758
62	0.22728311
63	0.227251033
64	0.2272183777
65	0.2271877655
66	0.2271444107
67	0.2271073944
68	0.2270491745
69	0.2270169769
70	0.2269781418
71	0.2269569839
72	0.2269152283
73	0.2268731613
74	0.2268423553
75	0.2267811264
76	0.2267614319
77	0.2267183884
78	0.2266944809
79	0.2266638016
80	0.2266275452
81	0.2265694489
82	0.2265445572
83	0.226525061
84	0.2264760925
85	0.2264568542
86	0.2264086517
87	0.2263870087
88	0.2263617447
89	0.2263328003
90	0.2262810867
91	0.2262509476
92	0.2262239746
93	0.2261868912
94	0.2261525085
95	0.2261291077
96	0.2261089752
97	0.226090535
98	0.2260642853
99	0.2260333649
100	0.2260081406
101	0.2259826447
102	0.225956102
103	0.2259335922
104	0.2259007767
105	0.2258679825
106	0.225829248
107	0.2257974747
108	0.2257637085
109	0.2257396927
110	0.2257180084
111	0.225706926
112	0.2256807327
113	0.22566082
114	0.2256359451
115	0.2256202423
116	0.2256006058
117	0.2255846405
118	0.2255612854
119	0.225535611
120	0.2254994232
121	0.2254481583
122	0.2254348282
123	0.2254150146
124	0.225387468
125	0.225362648
126	0.2253326233
127	0.2252910309
128	0.2252697647
129	0.2252316025
130	0.2252044479
131	0.2251701172
132	0.2251371521
133	0.2251110352
134	0.2250987335
135	0.2250726288
136	0.2250462463
137	0.2250290817
138	0.2250121841
139	0.2249931381
140	0.224971685
141	0.2249410599
142	0.224910556
143	0.2248885925
144	0.2248538055
145	0.2248141998
146	0.2247728844
147	0.2247553314
148	0.2247314117
