iter	Passed	Remaining
0	18	187132
1	34	171484
2	49	166535
3	67	168353
4	87	174064
5	104	173625
6	120	172040
7	136	170556
8	153	170169
9	170	170451
10	185	168050
11	201	167643
12	221	170095
13	242	172974
14	262	174869
15	277	173305
16	292	171595
17	308	171183
18	326	171601
19	343	171477
20	361	171832
21	378	171815
22	392	170184
23	409	170126
24	422	168596
25	438	168337
26	451	166838
27	468	166961
28	483	166122
29	498	165606
30	515	165781
31	531	165703
32	550	166219
33	567	166231
34	583	166155
35	599	165899
36	616	165938
37	631	165630
38	644	164707
39	659	164188
40	676	164387
41	694	164629
42	709	164177
43	725	164241
44	743	164388
45	759	164437
46	777	164600
47	793	164505
48	809	164409
49	826	164454
50	842	164375
51	859	164510
52	877	164764
53	896	165123
54	915	165581
55	931	165459
56	946	165119
57	963	165240
58	984	165815
59	1004	166401
60	1021	166510
61	1034	165888
62	1055	166533
63	1075	167021
64	1091	166876
65	1106	166544
66	1123	166601
67	1138	166310
68	1156	166386
69	1173	166464
70	1192	166813
71	1207	166449
72	1226	166839
73	1247	167309
74	1277	169053
75	1303	170155
76	1330	171467
77	1360	173075
78	1383	173759
79	1415	175512
80	1437	176060
81	1460	176589
82	1477	176480
83	1502	177403
84	1524	177771
85	1545	178218
86	1567	178608
87	1590	179135
88	1611	179508
89	1632	179810
90	1654	180142
91	1676	180566
92	1698	180928
93	1719	181202
94	1738	181256
95	1757	181360
96	1779	181689
97	1798	181770
98	1819	181993
99	1836	181828
100	1851	181484
101	1872	181713
102	1893	181954
103	1914	182176
104	1934	182261
105	1953	182295
106	1970	182192
107	1987	182045
108	2005	181945
109	2018	181447
110	2033	181130
111	2051	181136
112	2070	181187
113	2091	181334
114	2109	181347
115	2127	181291
116	2146	181274
117	2165	181334
118	2185	181505
119	2208	181808
120	2228	181920
121	2249	182145
122	2269	182237
123	2289	182322
124	2308	182391
125	2327	182414
126	2346	182390
127	2366	182522
128	2385	182519
129	2403	182467
130	2422	182500
131	2440	182480
132	2460	182510
133	2480	182634
134	2500	182740
135	2515	182420
136	2533	182364
137	2552	182414
138	2569	182300
139	2586	182182
140	2604	182117
141	2621	182005
142	2638	181845
143	2654	181665
144	2672	181650
145	2690	181562
146	2708	181545
147	2726	181489
148	2744	181431
