iter	R2	RMSE
0	0.1084146954	430.5918721
1	0.2165144627	403.6452712
2	0.2770105403	387.7487084
3	0.3449564825	369.0791005
4	0.4070649539	351.1461711
5	0.4384399188	341.7295156
6	0.4565243808	336.1819639
7	0.4926536289	324.8154333
8	0.5359657427	310.6414457
9	0.5490660304	306.225148
10	0.5730216669	297.9801234
11	0.6083006161	285.4045031
12	0.6290562519	277.7399832
13	0.6579596078	266.7000363
14	0.6833210886	256.6220374
15	0.7067310616	246.9547651
16	0.7244993523	239.3567553
17	0.7362879041	234.1797845
18	0.7499912643	228.0142391
19	0.7519737434	227.1084045
20	0.7634044691	221.8133318
21	0.769160071	219.0987213
22	0.7740063743	216.7866188
23	0.7889906474	209.4764616
24	0.8004739181	203.6968036
25	0.8080567175	199.7886608
26	0.8208127108	193.0358519
27	0.8288861868	188.6370133
28	0.8329988562	186.3563088
29	0.8423824718	181.0450408
30	0.8505842346	176.2716984
31	0.8555842702	173.2972322
32	0.8626486128	169.0055248
33	0.8683739176	165.4456507
34	0.8727434652	162.6763515
35	0.8781186712	159.2036305
36	0.8832541527	155.8135052
37	0.8862154571	153.8246769
38	0.893114738	149.0882064
39	0.8957346172	147.24971
40	0.8990493389	144.8901829
41	0.9025256304	142.3736419
42	0.9068113005	139.2085796
43	0.9113605924	135.7681185
44	0.9136735402	133.98505
45	0.9183477207	130.3072361
46	0.9208807961	128.2700698
47	0.9236604185	125.9967272
48	0.9272008294	123.0403598
49	0.9297423748	120.8735034
50	0.9308638647	119.9048987
51	0.9336119595	117.4976829
52	0.9365366547	114.8803784
53	0.9377837516	113.7460402
54	0.9402044668	111.5112665
55	0.9414531133	110.3408384
56	0.9432107024	108.6719914
57	0.9458974338	106.0701809
58	0.9474710757	104.5162047
59	0.9500098889	101.959202
60	0.951477705	100.4511803
61	0.9531988727	98.65350829
62	0.9538719501	97.94153908
63	0.954018656	97.78566819
64	0.9564886273	95.12305047
65	0.9585246136	92.87088782
66	0.959516487	91.75367604
67	0.9602707516	90.89490733
68	0.96100921	90.04620084
69	0.9622261071	88.62989792
70	0.9632026499	87.47675197
71	0.964077287	86.43088129
72	0.965716341	84.43606015
73	0.9671575394	82.64226679
74	0.9689283111	80.38348055
75	0.969558208	79.56452679
76	0.9700308659	78.94442661
77	0.9713917035	77.13125112
78	0.9726147762	75.46446968
79	0.9731616861	74.70711943
80	0.9741522118	73.31554541
81	0.9746873699	72.55260543
82	0.9760346088	70.59543824
83	0.9766994815	69.60928454
84	0.9775429585	68.33774557
85	0.9778294949	67.90037474
86	0.9784117052	67.00289172
87	0.97942696	65.40841309
88	0.9805729534	63.56056773
89	0.9812959281	62.36665595
90	0.9820106778	61.16342222
91	0.9826167972	60.12419516
92	0.9834071223	58.74152712
93	0.9841705273	57.3743265
94	0.9845408341	56.6992619
95	0.9850212917	55.81122548
96	0.9854577415	54.99210029
97	0.9861105769	53.74356619
98	0.986756732	52.47856616
99	0.9871026133	51.78872716
100	0.9875681146	50.84554138
101	0.9881005736	49.74476588
102	0.9885625406	48.76959614
103	0.9891140144	47.57932254
104	0.9895667472	46.57943777
105	0.9897361774	46.19967762
106	0.9900775485	45.42488852
107	0.9902569699	45.01232025
108	0.9904519773	44.55958109
109	0.9908586896	43.60021249
110	0.9911692546	42.85318038
111	0.9913931882	42.30634724
112	0.9917930675	41.31186572
113	0.9919964353	40.79680076
114	0.9920903337	40.55677912
115	0.9922577417	40.12529195
116	0.9924535966	39.61451897
117	0.9926732695	39.033679
118	0.9929654892	38.2473481
119	0.9931838606	37.64901426
120	0.9932991808	37.32916935
121	0.9935276276	36.68733151
122	0.9936689765	36.28451646
123	0.9938362115	35.80207847
124	0.9940077336	35.30042482
125	0.9941764782	34.79983869
126	0.9943812777	34.1824479
127	0.9946104383	33.47812302
128	0.9948125888	32.8442777
129	0.9949394293	32.44024483
130	0.9950289946	32.15188899
131	0.9952076524	31.56883324
132	0.9953389535	31.1333672
133	0.9954387257	30.79835141
134	0.9956814071	29.96784488
135	0.9958849726	29.25302246
136	0.9960190657	28.77245234
137	0.996137833	28.34000347
138	0.9962469723	27.93671023
139	0.9962978106	27.74685061
140	0.9963552789	27.53065402
141	0.9964378711	27.21693334
142	0.9964930756	27.00521122
143	0.9965295547	26.86438977
144	0.9966138678	26.53605353
145	0.9967000844	26.19604887
146	0.9967287537	26.08200637
147	0.9968433952	25.62090606
148	0.9969203639	25.30661614
149	0.9970031114	24.96431621
150	0.9970879368	24.60847914
151	0.9971718064	24.25151874
152	0.9972112443	24.08183695
153	0.9972582094	23.87819623
154	0.997349633	23.47671795
155	0.9974110716	23.20301379
156	0.9975012029	22.79553954
157	0.9975512264	22.56621342
158	0.9976440163	22.13454065
159	0.9977208763	21.77049595
160	0.9977989258	21.3944794
161	0.9978239345	21.27258923
162	0.9978739014	21.02694019
163	0.9979262805	20.76631226
164	0.9979753602	20.51909764
165	0.9980213007	20.28496587
166	0.9980930476	19.91380761
167	0.9981317648	19.71061417
168	0.9981610367	19.55558951
169	0.9981929414	19.38520932
170	0.9982274616	19.19915899
171	0.9982478217	19.0885757
172	0.9983044968	18.77732337
173	0.998324717	18.66502047
174	0.9983638709	18.44561564
175	0.9983962523	18.26217084
176	0.9984282114	18.07929306
177	0.9984705026	17.83441036
178	0.9985028101	17.64504705
179	0.9985252084	17.51256274
180	0.9985514927	17.35580322
181	0.9985895668	17.1261852
182	0.9986109396	16.99593048
183	0.9986508333	16.75009154
184	0.9986698452	16.63165485
185	0.998702677	16.42511536
