iter	Passed	Remaining
0	45	4581536
1	94	4735689
2	174	5832199
3	243	6089438
4	305	6114248
5	349	5821645
6	394	5632382
7	471	5888920
8	544	6048254
9	576	5767835
10	637	5793259
11	688	5737792
12	738	5679926
13	789	5637705
14	838	5586212
15	886	5538139
16	942	5540363
17	989	5495116
18	1037	5457268
19	1054	5270787
20	1100	5240733
21	1134	5156186
22	1185	5152685
23	1236	5150250
24	1287	5148177
25	1329	5112947
26	1385	5131412
27	1434	5123404
28	1482	5112030
29	1537	5123891
30	1597	5150078
31	1650	5155304
32	1702	5158234
33	1754	5158847
34	1803	5149904
35	1850	5138312
36	1906	5150948
37	1968	5179051
38	2026	5193376
39	2082	5203549
40	2134	5204811
41	2182	5194232
42	2233	5192293
43	2295	5214762
44	2353	5227830
45	2409	5235515
46	2458	5228882
47	2508	5223236
48	2563	5229758
49	2611	5220768
50	2660	5213957
51	2709	5207220
52	2757	5200780
53	2817	5214812
54	2874	5223369
55	2936	5240611
56	2987	5237481
57	3037	5233574
58	3088	5232395
59	3139	5229361
60	3187	5222148
61	3238	5220119
62	3285	5211745
63	3301	5155891
64	3351	5152467
65	3406	5157907
66	3459	5159737
67	3511	5160350
68	3559	5155554
69	3608	5152001
70	3658	5148817
71	3710	5150175
72	3759	5146146
73	3807	5141740
74	3856	5137764
75	3904	5133441
76	3963	5143693
77	4025	5157220
78	4092	5175686
79	4140	5170889
80	4188	5166380
81	4229	5153426
82	4278	5150060
83	4342	5165210
84	4396	5167624
85	4442	5161776
86	4492	5159222
87	4540	5155364
88	4589	5152181
89	4639	5150343
90	4679	5137956
91	4730	5137338
92	4778	5133462
93	4834	5138505
94	4886	5139227
95	4933	5134283
96	4980	5129500
97	5028	5125976
98	5076	5122362
99	5125	5120099
100	5174	5118259
101	5222	5115336
102	5275	5116957
103	5328	5118340
104	5379	5117607
105	5433	5120057
106	5498	5133046
107	5558	5141434
108	5617	5148167
109	5665	5144764
110	5716	5144468
111	5768	5144559
112	5822	5147135
113	5873	5145989
114	5931	5151525
115	5988	5156169
116	6038	5155149
117	6093	5157509
118	6145	5157778
119	6197	5158669
120	6247	5157269
121	6297	5155291
122	6344	5151763
123	6391	5148152
124	6439	5144875
125	6489	5143719
126	6541	5143934
127	6595	5146378
128	6646	5145793
129	6696	5144714
130	6749	5145628
131	6801	5145897
132	6851	5144308
133	6900	5142410
134	6950	5141306
135	7000	5140378
136	7053	5141772
137	7105	5141856
138	7149	5136706
139	7196	5133234
140	7244	5130928
141	7295	5130648
142	7346	5130023
143	7396	5129090
144	7446	5128095
145	7497	5127624
146	7548	5127734
147	7611	5135592
148	7663	5135923
149	7715	5135836
150	7768	5136877
151	7821	5138148
152	7876	5140468
153	7927	5139626
154	7976	5138296
155	8026	5137178
156	8074	5135193
157	8124	5134008
158	8168	5128995
159	8219	5128884
160	8273	5130486
161	8325	5130718
162	8378	5131652
163	8427	5130314
164	8479	5130624
165	8526	5128029
166	8582	5130846
167	8631	5129258
168	8680	5127770
169	8732	5127850
170	8779	5125566
171	8826	5122910
172	8873	5120121
173	8920	5117776
174	8967	5115419
175	9013	5112527
176	9060	5110121
177	9110	5109314
178	9160	5108354
179	9209	5107094
180	9255	5104477
181	9303	5102573
182	9350	5100283
183	9399	5098885
184	9447	5097269
185	9494	5095236
